Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
DeShawn Stevenson\stevede01,2001,2013,G,6-5,210,April 3 1981,
Dennis Stewart\stewade01,1971,1971,F,6-6,220,April 11 1947,University of Michigan
Kebu Stewart\stewake01,1998,1998,F,6-8,239,December 19 1973,University of Nevada Las Vegas California State University Bakersfield
Larry Stewart\stewala01,1992,1997,F,6-8,220,September 21 1968,Coppin State University
Michael Stewart\stewami01,1998,2005,C,6-10,230,April 25 1975,University of California
Norm Stewart\stewano01,1957,1957,F,6-5,205,January 20 1935,University of Missouri
Greg Stiemsma\stiemgr01,2012,2015,C,6-11,260,September 26 1985,University of Wisconsin
Steve Stipanovich\stipast01,1984,1988,C,6-11,245,November 17 1960,University of Missouri
Bryant Stith\stithbr01,1993,2002,G,6-5,208,December 10 1970,University of Virginia
Sam Stith\stithsa01,1962,1962,G,6-2,185,July 22 1937,St. Bonaventure University
Tom Stith\stithto01,1963,1963,F,6-5,210,January 21 1939,St. Bonaventure University
Alex Stivrins\stivral01,1986,1993,F,6-8,220,November 29 1962,Creighton University University of Colorado
David Stockton\stockda01,2015,2018,G,5-11,165,June 24 1991,Gonzaga University
John Stockton*\stockjo01,1985,2003,G,6-1,170,March 26 1962,Gonzaga University
Peja Stojakovic\stojape01,1999,2011,F-G,6-9,220,June 9 1977,
Ed Stokes\stokeed01,1998,1998,C,7-0,264,September 3 1971,University of Arizona
Greg Stokes\stokegr01,1986,1990,F-C,6-10,220,August 5 1963,University of Iowa
Jarnell Stokes\stokeja01,2015,2017,F-C,6-9,263,January 7 1994,University of Tennessee
Maurice Stokes*\stokema01,1956,1958,F-C,6-7,232,June 17 1933,Saint Francis University
Art Stolkey\stolkar01,1947,1947,G,6-1,180,October 23 1920,University of Detroit Mercy
Randy Stoll\stollra01,1968,1968,C,6-7,235,,Washington State University
Diamond Stone\stonedi01,2017,2017,C,6-11,255,February 10 1997,University of Maryland
George Stone\stonege01,1969,1972,F,6-7,195,February 9 1946,Marshall University
Julyan Stone\stoneju01,2012,2018,G,6-6,200,December 7 1988,University of Texas at El Paso
Awvee Storey\storeaw01,2005,2008,G-F,6-6,222,April 18 1977,University of Illinois at Urbana-Champaign Arizona State University
Damon Stoudamire\stoudda01,1996,2008,G,5-10,171,September 3 1973,University of Arizona
Salim Stoudamire\stoudsa01,2006,2008,G,6-1,179,October 11 1982,University of Arizona
Amar'e Stoudemire\stoudam01,2003,2016,F-C,6-10,245,November 16 1982,
Paul Stovall\stovapa01,1973,1974,F,6-4,215,August 16 1948,Arizona State University
D.J. Strawberry\strawdj01,2008,2008,G,6-5,201,June 15 1985,University of Maryland
Joe Strawder\strawjo01,1966,1968,C,6-10,235,September 21 1940,Bradley University
Bill Stricker\stricbi01,1971,1971,F,6-9,210,January 22 1948,University of the Pacific
Erick Strickland\stricer01,1997,2005,G,6-3,210,November 25 1973,University of Nebraska
Mark Strickland\stricma01,1995,2003,F,6-9,210,July 14 1970,Temple University
Rod Strickland\stricro02,1989,2005,G,6-3,175,July 11 1966,DePaul University
Roger Strickland\stricro01,1964,1964,F,6-5,200,September 4 1940,Jacksonville University
John Stroeder\stroejo01,1988,1989,F,6-10,260,July 24 1958,University of Montana
Derek Strong\stronde01,1992,2001,F,6-8,220,February 9 1968,Xavier University
Lamont Strothers\strotla01,1992,1993,G,6-4,190,May 10 1968,Christopher Newport University
John Stroud\stroujo01,1981,1981,F,6-7,215,October 29 1957,University of Mississippi
Red Stroud\stroure01,1968,1968,G,6-0,160,May 2 1941,Mississippi State University
Rodney Stuckey\stuckro01,2008,2017,G,6-5,210,April 21 1986,Eastern Washington University
Gene Stump\stumpge01,1948,1950,F-G,6-2,185,November 13 1923,DePaul University
Stan Stutz\stutzst01,1947,1949,G-F,5-10,170,April 14 1920,University of Rhode Island
Gary Suiter\suitega01,1971,1971,C-F,6-9,225,January 18 1945,Midwestern State University
Jared Sullinger\sullija01,2013,2017,F,6-9,260,March 4 1992,Ohio State University
DaJuan Summers\summeda01,2010,2013,F,6-8,230,January 24 1988,Georgetown University
Edmond Sumner\sumneed01,2018,2019,G,6-6,176,December 31 1995,Xavier University
Barry Sumpter\sumptba01,1989,1989,F-C,6-11,215,November 11 1965,University of Louisville Austin Peay State University
Don Sunderlage\sundedo01,1954,1955,G,6-1,180,December 20 1929,University of Illinois at Urbana-Champaign
Bruno Sundov\sundobr01,1999,2005,C,7-2,220,February 10 1980,
Jon Sundvold\sundvjo01,1984,1992,G,6-2,170,July 2 1961,University of Missouri
Bob Sura\surabo01,1996,2005,G,6-5,200,March 25 1973,Florida State University
Dick Surhoff\surhodi01,1953,1954,F,6-4,210,November 16 1929,Long Island University
George Sutor\sutorge01,1968,1970,C,6-8,235,September 14 1943,La Salle University
Dane Suttle\suttlda01,1984,1985,G,6-3,190,August 9 1961,Pepperdine University
Greg Sutton\suttogr01,1992,1996,G,6-2,170,December 3 1967,Oral Roberts University
Keith Swagerty\swageke01,1969,1970,F,6-7,235,October 30 1945,University of the Pacific
Bennie Swain\swainbe01,1959,1959,F,6-8,220,December 16 1933,Texas Southern University
Caleb Swanigan\swanica01,2018,2019,F,6-9,250,April 18 1997,Purdue University
Norm Swanson\swansno01,1954,1954,F,6-6,210,October 4 1930,University of Detroit Mercy
Dan Swartz\swartda01,1963,1963,F,6-4,215,December 23 1934,Morehead State University
Mike Sweetney\sweetmi01,2004,2007,F,6-8,275,October 25 1982,Georgetown University
Robert Swift\swiftro01,2005,2009,C,7-0,245,December 3 1985,
Skeeter Swift\swiftsk01,1970,1974,G,6-3,204,June 19 1946,East Tennessee State University
Stromile Swift\swiftst01,2001,2009,F,6-9,225,November 21 1979,Louisiana State University
Aaron Swinson\swinsaa01,1995,1995,F,6-5,230,January 9 1971,Auburn University
Pape Sy\sypa01,2011,2011,F,6-7,225,April 5 1988,
Buck Sydnor\sydnobu01,1947,1947,G,5-10,175,September 19 1921,Western Kentucky University
Larry Sykes\sykesla01,1996,1996,F,6-9,255,April 11 1973,Xavier University
Brett Szabo\szabobr01,1997,1997,C,6-11,230,February 1 1968,Augustana College (SD)
Wally Szczerbiak\szczewa02,2000,2009,F,6-7,244,March 5 1977,Miami University
Walt Szczerbiak\szczewa01,1972,1972,F,6-6,210,August 21 1949,George Washington University
Zan Tabak\tabakza01,1995,2001,C,7-0,245,June 15 1970,
Yuta Tabuse\tabusyu01,2005,2005,G,5-9,165,October 5 1980,Brigham Young University Hawaii
Chris Taft\taftch01,2006,2006,F,6-10,260,March 10 1985,University of Pittsburgh
Sid Tanenbaum\tanensi01,1948,1949,G,6-0,160,October 8 1925,New York University
Dragan Tarlac\tarladr01,2001,2001,C,6-10,260,May 9 1973,
Roy Tarpley\tarplro01,1987,1995,C-F,6-11,230,November 28 1964,University of Michigan
Levern Tart\tartle01,1968,1971,G-F,6-2,195,June 1 1942,Bradley University
Earl Tatum\tatumea01,1977,1980,G-F,6-5,185,July 26 1953,Marquette University
Jayson Tatum\tatumja01,2018,2019,F,6-8,208,March 3 1998,Duke University
Edy Tavares\tavarwa01,2016,2017,C,7-3,260,March 22 1992,
Anthony Taylor\tayloan01,1989,1989,G,6-4,175,November 30 1965,University of Oregon
Brian Taylor\taylobr01,1973,1982,G,6-2,185,June 9 1951,Princeton University
Donell Taylor\taylodo01,2006,2007,G,6-6,180,July 26 1982,Okaloosa-Walton Community College University of Alabama at Birmingham
Fatty Taylor\taylofa01,1970,1977,G,6-0,175,March 13 1946,La Salle University
Fred Taylor\taylofr01,1971,1972,G-F,6-5,180,February 5 1948,University of Texas-Pan American
Isaiah Taylor\taylois01,2017,2018,G,6-3,170,July 11 1994,University of Texas at Austin
Jay Taylor\tayloja01,1990,1990,G,6-3,190,October 3 1967,Eastern Illinois University
Jeff Taylor\tayloje01,1983,1987,G,6-4,175,January 1 1960,Texas Tech University
Jeffery Taylor\tayloje03,2013,2015,F,6-7,225,May 23 1989,Vanderbilt University
Jermaine Taylor\tayloje02,2010,2011,G,6-4,210,December 8 1986,University of Central Florida
Johnny Taylor\taylojo01,1998,2000,F,6-9,220,June 4 1974,Indian Hills Community College University of Tennessee at Chattanooga
Leonard Taylor\taylole01,1990,1990,F,6-8,220,May 2 1966,University of California
Maurice Taylor\tayloma01,1998,2007,F,6-9,260,October 30 1976,University of Michigan
Mike Taylor\taylomi01,2009,2009,G,6-2,165,January 21 1986,Iowa State University
Oliver Taylor\taylool01,1971,1974,G-F,6-2,194,March 7 1947,University of Houston
Ronald Taylor\tayloro01,1970,1972,C,7-1,265,November 21 1947,University of Southern California
Tyshawn Taylor\tayloty01,2013,2014,G,6-3,185,April 12 1990,University of Kansas
Vince Taylor\taylovi01,1983,1983,G-F,6-5,180,September 11 1960,Duke University
Terry Teagle\teaglte01,1983,1993,F-G,6-5,195,April 10 1960,Baylor University
Jeff Teague\teaguje01,2010,2019,G,6-2,195,June 10 1988,Wake Forest University
Marquis Teague\teaguma01,2013,2018,G,6-2,189,February 28 1993,University of Kentucky
Mirza Teletovic\teletmi01,2013,2018,F,6-9,242,September 18 1985,
Sebastian Telfair\telfase01,2005,2015,G,6-0,165,June 9 1985,
Collis Temple\templco01,1975,1975,F,6-8,220,November 8 1952,Louisiana State University
Garrett Temple\templga01,2010,2019,G,6-6,195,May 8 1986,Louisiana State University
Milos Teodosic\teodomi01,2018,2019,G,6-5,196,March 19 1987,
Ira Terrell\terreir01,1977,1979,F-C,6-8,200,June 19 1954,Southern Methodist University
Jared Terrell\terreja01,2019,2019,G,6-3,227,February 10 1995,University of Rhode Island
Carlos Terry\terryca01,1981,1983,G-F,6-5,210,June 22 1956,Winston-Salem State University
Chuck Terry\terrych01,1973,1977,F,6-6,215,September 27 1950,California State University Long Beach
Claude Terry\terrycl01,1973,1978,G-F,6-4,195,January 12 1950,Stanford University
Emanuel Terry\terryem01,2019,2019,F,6-9,220,August 21 1996,Lincoln Memorial University
Jason Terry\terryja01,2000,2018,G,6-2,185,September 15 1977,University of Arizona
Hasheem Thabeet\thabeha01,2010,2014,C,7-3,263,February 16 1987,University of Connecticut
Tom Thacker\thackto01,1964,1971,G-F,6-2,170,November 2 1939,University of Cincinnati
Floyd Theard\thearfl01,1970,1970,G,6-1,170,September 5 1944,Kentucky State University
Daniel Theis\theisda01,2018,2019,C,6-8,243,April 4 1992,
Reggie Theus\theusre01,1979,1991,G,6-7,190,October 13 1957,University of Nevada Las Vegas
Peter Thibeaux\thibepe01,1985,1986,F,6-7,210,October 3 1961,Saint Mary's College of California
Bill Thieben\thiebbi01,1957,1958,F-C,6-7,215,March 28 1935,Hofstra University
Justus Thigpen\thigpju01,1970,1974,G,6-1,160,August 13 1947,Weber State University
David Thirdkill\thirdda01,1983,1987,F-G,6-7,195,April 12 1960,Bradley University
Adonis Thomas\thomaad01,2014,2014,F,6-7,200,March 25 1993,University of Memphis
Billy Thomas\thomabi01,2005,2008,G,6-4,208,December 23 1975,University of Kansas
Carl Thomas\thomaca01,1992,1998,G,6-4,175,October 3 1969,Eastern Michigan University
Charles Thomas\thomach01,1992,1992,G,6-3,175,October 3 1969,Eastern Michigan University
Etan Thomas\thomaet01,2002,2011,F,6-9,256,April 1 1978,Syracuse University
Irving Thomas\thomair01,1991,1991,F,6-8,225,January 2 1966,University of Kentucky Florida State University
Isaiah Thomas\thomais02,2012,2019,G,5-9,185,February 7 1989,University of Washington
Isiah Thomas*\thomais01,1982,1994,G,6-1,180,April 30 1961,Indiana University
Jamel Thomas\thomaja01,2000,2001,F,6-6,215,March 25 1973,Providence College
James Thomas\thomaja02,2005,2006,F,6-8,235,November 22 1980,University of Texas at Austin
Jim Thomas\thomaji01,1984,1991,G,6-3,190,October 19 1960,Indiana University
Joe Thomas\thomajo01,1971,1971,F,6-6,205,March 9 1948,Marquette University
John Thomas\thomajo02,1998,2006,F,6-9,265,September 8 1975,University of Minnesota
Kenny Thomas\thomake01,2000,2010,F,6-7,261,July 25 1977,University of New Mexico
Khyri Thomas\thomakh01,2019,2019,G,6-3,210,May 8 1996,Creighton University
Kurt Thomas\thomaku01,1996,2013,F,6-9,230,October 4 1972,Texas Christian University
Lance Thomas\thomala01,2012,2019,F,6-8,240,April 24 1988,Duke University
Malcolm Thomas\thomama01,2012,2015,F,6-9,225,November 8 1988,Pepperdine University San Diego State University
Ronald Thomas\thomaro01,1973,1976,F,6-6,215,November 19 1950,University of Louisville
Terry Thomas\thomate01,1976,1976,F,6-8,220,August 20 1953,University of Detroit Mercy
Tim Thomas\thomati01,1998,2010,F,6-10,230,February 26 1977,Villanova University
Tyrus Thomas\thomaty01,2007,2015,F,6-9,215,August 17 1986,Louisiana State University
Willis Thomas\thomawi01,1968,1968,G,6-2,185,,Tennessee State University
Trey Thompkins\thomptr02,2012,2012,F,6-10,245,May 20 1990,University of Georgia
Bernard Thompson\thompbe01,1985,1989,F-G,6-6,210,August 30 1962,California State University Fresno
Billy Thompson\thompbi01,1987,1992,F,6-7,195,December 1 1963,University of Louisville
Brooks Thompson\thompbr01,1995,1998,G,6-4,193,July 19 1970,Texas A&M University Oklahoma State University
Corny Thompson\thompco01,1983,1983,F,6-8,225,February 5 1960,University of Connecticut
David Thompson*\thompda01,1976,1984,G-F,6-4,195,July 13 1954,North Carolina State University
Dijon Thompson\thompdi01,2006,2007,G-F,6-7,195,February 23 1983,University of California Los Angeles
George Thompson\thompge01,1970,1975,G,6-2,200,November 29 1947,Marquette University
Hollis Thompson\thompho01,2014,2017,G-F,6-8,206,April 3 1991,Georgetown University
Jack Thompson\thompja01,1969,1969,G,6-1,185,March 26 1946,University of South Carolina
Jason Thompson\thompja02,2009,2016,F-C,6-11,250,July 21 1986,Rider University
John Thompson*\thompjo01,1965,1966,F,6-10,225,September 2 1941,Providence College
Kevin Thompson\thompke01,1994,1994,C-F,6-11,260,February 7 1971,North Carolina State University
Klay Thompson\thompkl01,2012,2019,G-F,6-7,215,February 8 1990,Washington State University
LaSalle Thompson\thompla01,1983,1997,C-F,6-10,245,June 23 1961,University of Texas at Austin
Mychal Thompson\thompmy01,1979,1991,C-F,6-10,226,January 30 1955,University of Minnesota
Mychel Thompson\thompmy02,2012,2012,G,6-6,211,June 1 1988,Pepperdine University
Paul Thompson\thomppa01,1984,1986,G-F,6-6,210,May 25 1961,Tulane University
Stephen Thompson\thompst01,1992,1992,G,6-4,185,December 2 1968,Syracuse University
Tristan Thompson\thomptr01,2012,2019,F-C,6-10,238,March 13 1991,University of Texas at Austin
Skip Thoren\thoresk01,1968,1970,C,6-10,230,April 5 1943,University of Illinois at Urbana-Champaign
Rod Thorn*\thornro01,1964,1971,G,6-4,195,May 23 1941,West Virginia University
Al Thornton\thornal01,2008,2011,F,6-8,220,December 7 1983,Florida State University
Bob Thornton\thornbo01,1986,1996,F-C,6-10,225,July 10 1962,University of California Irvine
Dallas Thornton\thornda01,1969,1970,G,6-4,190,September 1 1946,Kentucky Wesleyan College
Marcus Thornton\thornma01,2010,2017,G,6-4,205,June 5 1987,Louisiana State University
Sindarius Thornwell\thornsi01,2018,2019,G,6-5,215,November 15 1994,University of South Carolina
Otis Thorpe\thorpot01,1985,2001,F-C,6-9,225,August 5 1962,Providence College
Sedale Threatt\threase01,1984,1997,G,6-2,175,September 10 1961,West Virginia University Institute of Technology
Nate Thurmond*\thurmna01,1964,1977,C-F,6-11,225,July 25 1941,Bowling Green State University
Mel Thurston\thursme01,1948,1948,G,6-0,175,January 16 1919,Canisius College
Hal Tidrick\tidriha01,1949,1949,F-G,6-1,190,August 4 1915,Washington & Jefferson College
Dan Tieman\tiemada01,1963,1963,G,6-0,185,November 30 1940,Thomas More College
Darren Tillis\tillida01,1983,1984,C-F,6-11,215,February 23 1960,Cleveland State University
Jack Tingle\tinglja01,1948,1949,F,6-4,205,December 30 1924,University of Kentucky
George Tinsley\tinslge01,1970,1972,F,6-5,205,September 19 1946,Kentucky Wesleyan College
Jamaal Tinsley\tinslja01,2002,2014,G,6-3,195,February 28 1978,Iowa State University
Wayman Tisdale\tisdawa01,1986,1997,F-C,6-9,240,June 9 1964,University of Oklahoma
Mike Tobey\tobeymi01,2017,2017,C,7-0,260,October 10 1994,University of Virginia
Mike Todorovich\todormi01,1950,1951,F-C,6-5,220,June 11 1923,University of Wyoming
Ray Tolbert\tolbera01,1982,1989,F,6-9,225,September 10 1958,Indiana University
Tom Tolbert\tolbeto01,1989,1995,F-C,6-7,235,October 16 1965,University of California Irvine University of Arizona
Anthony Tolliver\tollian01,2009,2019,F-C,6-8,250,June 1 1985,Creighton University
Dean Tolson\tolsode01,1975,1978,F,6-8,190,November 25 1951,University of Arkansas
Rudy Tomjanovich\tomjaru01,1971,1981,F,6-8,218,November 24 1948,University of Michigan
Andrew Toney\toneyan01,1981,1988,G,6-3,178,November 23 1957,University of Louisiana at Lafayette
Sedric Toney\toneyse01,1986,1994,G,6-2,178,April 13 1962,University of Dayton
Andy Tonkovich\tonkoan01,1949,1949,G,6-1,185,November 1 1922,Marshall University
Andy Toolson\toolsan01,1991,1996,G-F,6-6,210,January 19 1966,Brigham Young University
Jack Toomay\toomaja01,1948,1950,C-F,6-6,215,August 9 1922,University of the Pacific
Bernard Toone\toonebe01,1980,1980,F,6-9,210,July 14 1956,Marquette University
Irv Torgoff\torgoir01,1947,1949,F,6-2,192,March 6 1917,Long Island University
Gene Tormohlen\tormobu01,1963,1970,C-F,6-8,230,May 12 1937,University of Tennessee
Oscar Torres\torreos01,2002,2003,F,6-6,210,December 18 1976,
Bill Tosheff\toshebi01,1952,1954,G,6-1,175,June 2 1926,Indiana University
Bob Tough\toughbo01,1949,1950,G-F,6-0,185,August 28 1920,St. John's University
Axel Toupane\toupaax01,2016,2017,G-F,6-7,197,July 23 1992,
Monte Towe\towemo01,1976,1977,G,5-7,150,September 27 1953,North Carolina State University
Keith Tower\towerke01,1994,1997,C-F,6-11,250,May 15 1970,University of Notre Dame
Blackie Towery\towerbl01,1949,1950,F-C,6-4,210,June 20 1920,Western Kentucky University
Linton Townes\towneli01,1983,1985,F-G,6-7,190,November 30 1959,James Madison University
Karl-Anthony Towns\townska01,2016,2019,C-F,7-0,248,November 15 1995,University of Kentucky
Raymond Townsend\townsra01,1979,1982,G,6-3,175,December 20 1955,University of California Los Angeles
George Trapp\trappge01,1972,1977,F-C,6-8,205,July 11 1948,California State University Long Beach
John Trapp\trappjo01,1969,1973,F,6-7,210,October 2 1945,University of Nevada Las Vegas
Robert Traylor\traylro01,1999,2005,F,6-8,284,February 1 1977,University of Michigan
Gary Trent\trentga01,1996,2004,F,6-8,250,September 22 1974,Ohio University
Gary Trent\trentga02,2019,2019,G,6-6,205,January 18 1999,Duke University
Jeff Trepagnier\trepaje01,2002,2004,G,6-4,200,July 11 1979,University of Southern California
John Tresvant\tresvjo01,1965,1973,F-C,6-7,215,November 6 1939,Seattle University
Allonzo Trier\trieral01,2019,2019,G,6-5,200,January 17 1996,University of Arizona
Dick Triptow\triptdi01,1949,1950,G-F,6-0,170,November 3 1922,DePaul University
Kelly Tripucka\tripuke01,1982,1991,F-G,6-6,220,February 16 1959,University of Notre Dame
Ansley Truitt\truitan01,1973,1973,C,6-9,215,August 24 1950,University of California
Cezary Trybanski\trybace01,2003,2004,C,7-2,240,September 22 1979,
Jake Tsakalidis\tsakaja01,2001,2007,C,7-2,285,June 10 1979,
John Tschogl\tschojo01,1973,1975,F,6-6,206,April 25 1950,University of California Santa Barbara
Lou Tsioropoulos\tsiorlo01,1957,1959,F,6-5,190,August 31 1930,University of Kentucky
Nikoloz Tskitishvili\tskitni01,2003,2006,F,7-0,225,April 14 1983,
Al Tucker\tuckeal01,1968,1972,F,6-8,190,February 24 1943,Oklahoma Baptist University
Alando Tucker\tuckeal02,2008,2010,F,6-6,205,February 11 1984,University of Wisconsin
Anthony Tucker\tuckean01,1995,1995,F,6-8,220,April 4 1969,Georgetown University Wake Forest University
Jim Tucker\tuckeji01,1955,1957,F,6-7,185,December 11 1932,Duquesne University
P.J. Tucker\tuckepj01,2007,2019,F,6-6,245,May 5 1985,University of Texas at Austin
Trent Tucker\tucketr01,1983,1993,G,6-5,193,December 20 1959,University of Minnesota
Ronny Turiaf\turiaro01,2006,2015,F,6-10,249,January 13 1983,Gonzaga University
Mirsad Turkcan\turkcmi01,2000,2000,F,6-9,236,June 7 1976,
Hedo Turkoglu\turkohe01,2001,2015,F,6-10,220,March 19 1979,
Andre Turner\turnean01,1987,1992,G,5-11,160,December 13 1964,University of Memphis
Bill Turner\turnebi01,1968,1973,F,6-7,220,February 18 1944,University of Akron
Elston Turner\turneel01,1982,1989,G-F,6-5,190,June 10 1959,University of Mississippi
Evan Turner\turneev01,2011,2019,G,6-7,220,October 27 1988,Ohio State University
Gary Turner\turnega01,1968,1968,F,6-7,200,,Texas Christian University
Henry Turner\turnehe02,1990,1995,G-F,6-7,200,August 18 1966,California State University Fullerton
Herschell Turner\turnehe01,1968,1968,G,6-2,195,March 29 1938,University of Nebraska
Jack Turner\turneja01,1955,1955,F-G,6-4,170,June 29 1930,Western Kentucky University
Jack Turner\turneja02,1962,1962,G-F,6-5,200,June 5 1939,University of Louisville
Jeff Turner\turneje01,1985,1996,F-C,6-9,230,April 9 1962,Vanderbilt University
John Turner\turnejo01,1992,1992,F,6-8,245,November 30 1967,Georgetown University Phillips University
Myles Turner\turnemy01,2016,2019,C-F,6-11,250,March 24 1996,University of Texas at Austin
Wayne Turner\turnewa01,2000,2000,G,6-2,190,March 22 1976,University of Kentucky
Melvin Turpin\turpime01,1985,1990,C,6-11,240,December 28 1960,University of Kentucky
Dave Twardzik\twardda01,1973,1980,G,6-1,175,September 20 1950,Old Dominion University
Jack Twyman*\twymaja01,1956,1966,F-G,6-6,210,May 11 1934,University of Cincinnati
B.J. Tyler\tylerbj01,1995,1995,G,6-1,185,April 30 1971,DePaul University University of Texas at Austin
Jeremy Tyler\tylerje01,2012,2014,C,6-10,260,June 21 1991,
Terry Tyler\tylerte01,1979,1989,F-G,6-7,215,October 30 1956,University of Detroit Mercy
Charlie Tyra\tyrach01,1958,1962,C-F,6-8,230,August 16 1935,University of Louisville
Edwin Ubiles\ubileed01,2012,2012,G,6-6,204,November 26 1986,Siena College
Ekpe Udoh\udohek01,2011,2019,C-F,6-10,245,May 20 1987,University of Michigan Baylor University
Ime Udoka\udokaim01,2004,2011,F,6-6,215,August 9 1977,University of San Francisco Portland State University
Beno Udrih\udrihbe01,2005,2017,G,6-3,205,July 5 1982,
Roko Ukic\ukicro01,2009,2010,G,6-5,183,May 12 1984,
Tyler Ulis\ulisty01,2017,2019,G,5-10,160,January 5 1996,University of Kentucky
Wes Unseld*\unselwe01,1969,1981,C-F,6-7,245,March 14 1946,University of Louisville
Hal Uplinger\uplinha01,1954,1954,G,6-4,185,September 30 1929,Long Island University
Kelvin Upshaw\upshake01,1989,1991,G,6-2,180,January 24 1963,University of Utah
Jarrod Uthoff\uthofja01,2017,2017,F,6-9,221,May 19 1993,University of Iowa
Ben Uzoh\uzohbe01,2011,2012,G,6-3,205,March 19 1988,University of Tulsa
Stephen Vacendak\vacenst01,1968,1970,G,6-1,185,August 15 1944,Duke University
Jonas Valanciunas\valanjo01,2013,2019,C,7-0,265,May 6 1992,
Darnell Valentine\valenda01,1982,1991,G,6-1,183,February 3 1959,University of Kansas
Denzel Valentine\valende01,2017,2018,G,6-6,210,November 16 1993,Michigan State University
Ronnie Valentine\valenro01,1981,1981,F,6-7,210,November 27 1957,Old Dominion University
John Vallely\vallejo01,1971,1972,G,6-3,185,October 3 1948,University of California Los Angeles
Dick Van Arsdale\vanardi01,1966,1977,G-F,6-5,210,February 22 1943,Indiana University
Tom Van Arsdale\vanarto01,1966,1977,F-G,6-5,202,February 22 1943,Indiana University
Butch van Breda Kolff\vanbrbu01,1947,1950,G-F,6-3,185,October 28 1922,New York University
Jan van Breda Kolff\vanbrja01,1975,1983,F-G,6-7,195,December 16 1951,Vanderbilt University
Nick Van Exel\vanexni01,1994,2006,G,6-1,170,November 27 1971,Trinity Valley Community College University of Cincinnati
Keith Van Horn\vanhoke01,1998,2006,F,6-10,220,October 23 1975,University of Utah
Norm Van Lier\vanlino01,1970,1979,G,6-1,173,April 1 1947,Saint Francis University
Dennis Van Zant\vanzade01,1976,1976,F,6-9,210,June 1 1952,Azusa Pacific University
Gene Vance\vancege01,1948,1952,G-F,6-3,195,February 25 1923,University of Illinois at Urbana-Champaign
Logan Vander Velden\vandelo01,1996,1996,F,6-8,215,April 3 1971,University of Wisconsin-Green Bay
Jarred Vanderbilt\vandeja01,2019,2019,F,6-9,214,April 3 1999,University of Kentucky
Ernie Vandeweghe\vandeer01,1950,1956,F-G,6-3,195,September 12 1928,Colgate University
Kiki Vandeweghe\vandeki01,1981,1993,F,6-8,220,August 1 1958,University of California Los Angeles
Nick Vanos\vanosni01,1986,1987,C,7-1,255,April 13 1963,Santa Clara University
David Vanterpool\vanteda01,2001,2001,G,6-5,200,March 31 1973,St. Bonaventure University
Fred VanVleet\vanvlfr01,2017,2019,G,6-0,195,February 25 1994,Wichita State University
Ratko Varda\vardara01,2002,2002,C,7-1,260,May 6 1979,
Anderson Varejao\varejan01,2005,2017,F-C,6-10,273,September 28 1982,
Jarvis Varnado\varnaja01,2013,2014,F,6-9,230,March 1 1988,Mississippi State University
Greivis Vasquez\vasqugr01,2011,2017,G,6-6,217,January 16 1987,University of Maryland
Chico Vaughn\vaughch01,1963,1970,G,6-2,190,February 19 1940,Southern Illinois University
David Vaughn\vaughda01,1975,1976,C,6-11,220,June 4 1952,Oral Roberts University
David Vaughn\vaughda02,1996,1999,F,6-9,240,March 23 1973,University of Memphis
Jacque Vaughn\vaughja01,1998,2009,G,6-1,190,February 11 1975,University of Kansas
Rashad Vaughn\vaughra01,2016,2018,G,6-6,202,August 16 1996,University of Nevada Las Vegas
Virgil Vaughn\vaughvi01,1947,1947,F-C,6-4,205,May 15 1918,Western Kentucky University
Loy Vaught\vaughlo01,1991,2001,F,6-9,230,February 27 1968,University of Michigan
Bob Verga\vergabo01,1968,1974,G,6-1,190,September 7 1945,Duke University
Pete Verhoeven\verhope01,1982,1987,F,6-9,215,February 15 1959,California State University Fresno
Jan Vesely\veselja01,2012,2014,F,6-11,240,April 24 1990,
Gundars Vetra\vetragu01,1993,1993,F,6-6,195,May 22 1967,
Joao Vianna\viannjo01,1992,1992,F,6-9,215,November 15 1966,
Charlie Villanueva\villach01,2006,2016,F,6-11,232,August 24 1984,University of Connecticut
Jay Vincent\vinceja01,1982,1990,F,6-7,220,June 10 1959,Michigan State University
Sam Vincent\vincesa01,1986,1992,G,6-2,185,May 18 1963,Michigan State University
Marcus Vinicius\vincima01,2007,2008,F,6-8,225,May 31 1984,
Fred Vinson\vinsofr01,1995,2000,G,6-4,190,January 28 1971,Georgia Institute of Technology
Claude Virden\virdecl01,1973,1973,F,6-6,195,November 25 1947,Murray State University
Gary Voce\vocega01,1990,1990,F,6-9,240,November 24 1965,University of Notre Dame
Floyd Volker\volkefl01,1950,1950,F-C,6-4,205,June 21 1921,University of Wyoming
Alexander Volkov\volkoal01,1990,1992,C,6-10,218,March 28 1964,
Whitey Von Nieda\vonniwh01,1950,1950,G-F,6-1,170,June 19 1922,Pennsylvania State University
Noah Vonleh\vonleno01,2015,2019,F,6-9,250,August 24 1995,Indiana University
Jake Voskuhl\voskuja01,2001,2009,C,6-11,245,November 1 1977,University of Connecticut
Danny Vranes\vraneda01,1982,1988,F,6-7,210,October 29 1958,University of Utah
Slavko Vranes\vranesl01,2004,2004,C,7-5,275,January 30 1983,
Stojko Vrankovic\vrankst01,1991,1999,C,7-2,260,January 22 1964,
Brett Vroman\vromabr01,1981,1981,C,7-0,220,December 25 1955,University of California Los Angeles University of Nevada Las Vegas
